Topics,Alpha,Decay,Chunksize,Passes,Coherence
6,0.01,0.3,1500,1,0.4827454017132291
6,0.01,0.3,1500,5,0.44984901006569605
6,0.01,0.3,1500,10,0.44613242506871487
6,0.01,0.3,2000,1,0.5036890735529284
6,0.01,0.3,2000,5,0.44543372427993316
6,0.01,0.3,2000,10,0.44102446351589614
6,0.01,0.3,2500,1,0.5014093749997013
6,0.01,0.3,2500,5,0.4593936288731531
6,0.01,0.3,2500,10,0.4573049831411478
6,0.01,0.4,1500,1,0.5150136313964969
6,0.01,0.4,1500,5,0.44216923521119783
6,0.01,0.4,1500,10,0.4523799401313599
6,0.01,0.4,2000,1,0.5045982098413712
6,0.01,0.4,2000,5,0.46804018761452576
6,0.01,0.4,2000,10,0.45323413397959617
6,0.01,0.4,2500,1,0.5092867655275194
6,0.01,0.4,2500,5,0.47245128375346335
6,0.01,0.4,2500,10,0.46148069070285347
6,0.01,0.5,1500,1,0.5141898938047266
6,0.01,0.5,1500,5,0.458282422098246
6,0.01,0.5,1500,10,0.44504063738767785
6,0.01,0.5,2000,1,0.5059540204203673
6,0.01,0.5,2000,5,0.4619183065876494
6,0.01,0.5,2000,10,0.46961166457639597
6,0.01,0.5,2500,1,0.5080150296179294
6,0.01,0.5,2500,5,0.4805407964286453
6,0.01,0.5,2500,10,0.4596903064265445
6,0.01,0.6000000000000001,1500,1,0.5122543394274213
6,0.01,0.6000000000000001,1500,5,0.45924858526017637
6,0.01,0.6000000000000001,1500,10,0.4457133831599956
6,0.01,0.6000000000000001,2000,1,0.5136819622106932
6,0.01,0.6000000000000001,2000,5,0.49798309656124623
6,0.01,0.6000000000000001,2000,10,0.45347297104135337
6,0.01,0.6000000000000001,2500,1,0.5110817375150735
6,0.01,0.6000000000000001,2500,5,0.4830289079782551
6,0.01,0.6000000000000001,2500,10,0.46381789259561446
6,0.01,0.7000000000000002,1500,1,0.5169318801098178
6,0.01,0.7000000000000002,1500,5,0.47321173507114417
6,0.01,0.7000000000000002,1500,10,0.46068140145340397
6,0.01,0.7000000000000002,2000,1,0.5153102862195251
6,0.01,0.7000000000000002,2000,5,0.49591011876424923
6,0.01,0.7000000000000002,2000,10,0.48528567006775897
6,0.01,0.7000000000000002,2500,1,0.5147939031799267
6,0.01,0.7000000000000002,2500,5,0.5008492894295734
6,0.01,0.7000000000000002,2500,10,0.4676766443078349
6,0.31,0.3,1500,1,0.5049094392686007
6,0.31,0.3,1500,5,0.4631504159085571
6,0.31,0.3,1500,10,0.4575972222039068
6,0.31,0.3,2000,1,0.4962657168708038
6,0.31,0.3,2000,5,0.45603890810055875
6,0.31,0.3,2000,10,0.44762025344460693
6,0.31,0.3,2500,1,0.5098473335562793
6,0.31,0.3,2500,5,0.46939261883066824
6,0.31,0.3,2500,10,0.4443499983526477
6,0.31,0.4,1500,1,0.5157555553616793
6,0.31,0.4,1500,5,0.4610551849886814
6,0.31,0.4,1500,10,0.4546709731498697
6,0.31,0.4,2000,1,0.5160005049986428
6,0.31,0.4,2000,5,0.4708602445502012
6,0.31,0.4,2000,10,0.45092094966562196
6,0.31,0.4,2500,1,0.5154303236992027
6,0.31,0.4,2500,5,0.47905911611828733
6,0.31,0.4,2500,10,0.4443855638154672
6,0.31,0.5,1500,1,0.5144545041656583
6,0.31,0.5,1500,5,0.4589825276033197
6,0.31,0.5,1500,10,0.46562893750705947
6,0.31,0.5,2000,1,0.5139961893771963
6,0.31,0.5,2000,5,0.4750865226807619
6,0.31,0.5,2000,10,0.45567061063564723
6,0.31,0.5,2500,1,0.5135374236045882
6,0.31,0.5,2500,5,0.4739799683546362
6,0.31,0.5,2500,10,0.4450243952236099
6,0.31,0.6000000000000001,1500,1,0.5137522404663445
6,0.31,0.6000000000000001,1500,5,0.4625223852036198
6,0.31,0.6000000000000001,1500,10,0.4594027851951874
6,0.31,0.6000000000000001,2000,1,0.5076116773751441
6,0.31,0.6000000000000001,2000,5,0.48099323772850616
6,0.31,0.6000000000000001,2000,10,0.46943183224395524
6,0.31,0.6000000000000001,2500,1,0.5080341344656492
6,0.31,0.6000000000000001,2500,5,0.49230462980251116
6,0.31,0.6000000000000001,2500,10,0.4695908201859633
6,0.31,0.7000000000000002,1500,1,0.5096247203127424
6,0.31,0.7000000000000002,1500,5,0.4594926946226587
6,0.31,0.7000000000000002,1500,10,0.4592344121949446
6,0.31,0.7000000000000002,2000,1,0.5212737376971756
6,0.31,0.7000000000000002,2000,5,0.4863009776681391
6,0.31,0.7000000000000002,2000,10,0.48443791402848896
6,0.31,0.7000000000000002,2500,1,0.5072076050214341
6,0.31,0.7000000000000002,2500,5,0.49821059196054973
6,0.31,0.7000000000000002,2500,10,0.4687673086918684
6,0.61,0.3,1500,1,0.5657029034773636
6,0.61,0.3,1500,5,0.46811279937643047
6,0.61,0.3,1500,10,0.44342920110611744
6,0.61,0.3,2000,1,0.5655951448293668
6,0.61,0.3,2000,5,0.47973593004894166
6,0.61,0.3,2000,10,0.46141494840523634
6,0.61,0.3,2500,1,0.5513608893670461
6,0.61,0.3,2500,5,0.47614919421491203
6,0.61,0.3,2500,10,0.45717078841345254
6,0.61,0.4,1500,1,0.5660126714782476
6,0.61,0.4,1500,5,0.46265561544147243
6,0.61,0.4,1500,10,0.4665214019150623
6,0.61,0.4,2000,1,0.5257640882924646
6,0.61,0.4,2000,5,0.4710734872644818
6,0.61,0.4,2000,10,0.4573707886144856
6,0.61,0.4,2500,1,0.5270730211810039
6,0.61,0.4,2500,5,0.474357707079641
6,0.61,0.4,2500,10,0.45326025039277223
6,0.61,0.5,1500,1,0.5367239544261472
6,0.61,0.5,1500,5,0.45775006942168167
6,0.61,0.5,1500,10,0.45639780086837733
6,0.61,0.5,2000,1,0.5170208907676606
6,0.61,0.5,2000,5,0.472102262988137
6,0.61,0.5,2000,10,0.4587190725631665
6,0.61,0.5,2500,1,0.5457829306364478
