Topics,Alpha,Decay,Chunksize,Passes,Coherence
4,0.5,0.1,100,1,0.5451384182083147
4,0.5,0.1,300,1,0.4703724788301148
4,0.5,0.1,500,1,0.5320025828463419
4,0.5,0.2,100,1,0.46414722233788935
4,0.5,0.2,300,1,0.5117594755699546
4,0.5,0.2,500,1,0.4906924099914816
4,0.6,0.1,100,1,0.5552433866472912
4,0.6,0.1,300,1,0.5080109054287745
4,0.6,0.1,500,1,0.5494444415814999
4,0.6,0.2,100,1,0.4753774232452892
4,0.6,0.2,300,1,0.485032826012668
4,0.6,0.2,500,1,0.5309839077963602
4,0.7,0.1,100,1,0.5443031310285168
4,0.7,0.1,300,1,0.5274944903908527
4,0.7,0.1,500,1,0.582723417177152
4,0.7,0.2,100,1,0.5099694880784704
4,0.7,0.2,300,1,0.5099330116174318
4,0.7,0.2,500,1,0.5201477030347598
4,0.7999999999999999,0.1,100,1,0.5225677697004573
4,0.7999999999999999,0.1,300,1,0.5464434450483594
4,0.7999999999999999,0.1,500,1,0.5093014127918994
4,0.7999999999999999,0.2,100,1,0.4931554615876204
4,0.7999999999999999,0.2,300,1,0.5200300751420789
4,0.7999999999999999,0.2,500,1,0.5378010535104562
4,0.8999999999999999,0.1,100,1,0.5868907616824909
4,0.8999999999999999,0.1,300,1,0.5218528138873072
4,0.8999999999999999,0.1,500,1,0.5573443237895027
4,0.8999999999999999,0.2,100,1,0.48794809116644317
4,0.8999999999999999,0.2,300,1,0.502353057710929
4,0.8999999999999999,0.2,500,1,0.5377966131018383
4,symmetric,0.1,100,1,0.5161186648602216
4,symmetric,0.1,300,1,0.4747504051580579
4,symmetric,0.1,500,1,0.5154906714984105
4,symmetric,0.2,100,1,0.4946472921598919
4,symmetric,0.2,300,1,0.524135240457535
4,symmetric,0.2,500,1,0.5116515133026164
4,asymmetric,0.1,100,1,0.5012985496530342
4,asymmetric,0.1,300,1,0.44335161767076653
4,asymmetric,0.1,500,1,0.5517013899228346
4,asymmetric,0.2,100,1,0.5193738249676796
4,asymmetric,0.2,300,1,0.5348029929597192
4,asymmetric,0.2,500,1,0.5050745254167439
5,0.5,0.1,100,1,0.4699862761354199
5,0.5,0.1,300,1,0.4949274542725579
5,0.5,0.1,500,1,0.52234854751141
5,0.5,0.2,100,1,0.48237999588287117
5,0.5,0.2,300,1,0.4709312047318721
5,0.5,0.2,500,1,0.503481261851024
5,0.6,0.1,100,1,0.49639913091022103
5,0.6,0.1,300,1,0.5394603300241074
5,0.6,0.1,500,1,0.5693908621357139
5,0.6,0.2,100,1,0.4681748088708705
5,0.6,0.2,300,1,0.48337066634039105
5,0.6,0.2,500,1,0.5342157188811616
5,0.7,0.1,100,1,0.545144432662459
5,0.7,0.1,300,1,0.5401545599895954
5,0.7,0.1,500,1,0.5594010425219211
